uri,name,valence,energy,speechiness,acousticness,instrumentalness,
spotify:track:0HOvoZ4m0aJp6vY4fVrI51,All Your Favorite Bands,0.369,0.396,0.0304,0.777,2.00E-06,
spotify:track:77UtdB1EdmlQ2GkEjGjr1W,She Still Loves me - feat. Collie Buddz,0.9,0.838,0.0545,0.00735,0,
spotify:track:61MlvRoYHGg1j4OlvzrMTv,Fall In Love,0.786,0.83,0.0402,0.0792,0.000957,
spotify:track:3MMJw13cPo3E5ni0qmip4I,勉強,0.351,0.522,0.0256,0.0706,2.68E-06,
spotify:track:3c9WJhG3QvTtHmwKb5wz3i,Walking In Memphis,0.664,0.717,0.0286,0.27,0,
spotify:track:5hviTcWZKd6lcshpnkIXuv,Watch Me Ball,0.136,0.581,0.097,0.00406,0.00224,
spotify:track:7amCuaCr2cW3I5UTZTJc0f,Air,0.106,0.539,0.0301,0.0368,0.0858,
spotify:track:0I7WNugLpudPyF71xFZ8D3,Sr. Destino,0.769,0.702,0.0384,0.616,0,
spotify:track:5RYLa5P4qweEAKq5U1gdcK,A Kind Of Magic - Remastered 2011,0.703,0.776,0.0356,0.0184,0.00294,
spotify:track:7lit8NmAFGEwCzDUWFD24j,I Can't Wait,0.112,0.833,0.0404,0.674,0.473,
spotify:track:0OfKiveXHOMvX2FxiU3my9,J'attends la vague,0.291,0.653,0.162,0.226,0.000219,
spotify:track:6bObcLZEhZevnDzpo3oAxz,O Come O Come Emmanuel,0.323,0.584,0.0317,0.596,0,
spotify:track:3i5DWfyMJOKCtspfyotWJD,Inner City Blues (Make Me Wanna Holler),0.659,0.612,0.034,0.729,0.186,
spotify:track:6CvLhS3ybeavQIxwigu40s,La Mona,0.954,0.839,0.0591,0.121,0,
spotify:track:0FoB9BAV7B2Kv6NxOFZtSO,When You Close Your Eyes,0.517,0.673,0.0363,0.0132,0,
spotify:track:4mWMvwCyxMar9X16wv5vbN,The Touch of Your Skin,0.15,0.701,0.0496,0.0167,0.841,
spotify:track:4kemc5IWC10tKC1GXFJ4R6,Let It Go,0.175,0.421,0.0597,0.217,0.93,
spotify:track:2YFK8mpSIJfJZS5IsZ1cCc,So Good,0.661,0.385,0.0973,0.191,0.000448,
spotify:track:6vLwOFz5BYeEJPyvgUea2D,Factory of Faith,0.706,0.854,0.0334,0.00145,0.000105,
spotify:track:2mCRr2EjObwLYpYyL4tiyt,Make It Happen,0.368,0.695,0.0563,0.0533,0,
spotify:track:7mL0DJOgIJ9Z4b0NHVtTZe,Meeting In The Ladies Room,0.965,0.64,0.0579,0.0943,0.551,
spotify:track:1lXOVj6yZ6Awe3VL9klxsz,Take Care Of The Proper Paperwork,0.308,0.774,0.0425,0.0622,0.917,
spotify:track:4iWm8M2rSRAkmZYFGs12Fx,Nothing Compares 2 U,0.4,0.564,0.0268,0.0937,0,
spotify:track:2gUmpp3ArYjh4lKDIwWVnu,Punch Lines And Ironies,0.223,0.331,0.0305,0.713,0,
spotify:track:4w2YQSo15jtTwq95UDEFAP,The Shore,0.227,0.318,0.03,0.767,0.00269,
spotify:track:60Me9dsAWlF5u5mMr1Uydk,Boogie Woogie Bugle Boy - Single Version,0.877,0.421,0.442,0.904,0.000182,
spotify:track:1TccY0s6AsiZTd7LEgIQuO,Tristeza,0.962,0.682,0.0307,0.348,0,
spotify:track:4ITmmRIktaZYSuIkhuiC6U,Talking to Myself,0.468,0.767,0.288,0.489,0,
spotify:track:46fHLVEQBcyC8VjnmdDF3q,All I See Is You,0.338,0.789,0.0436,0.0224,9.95E-06,
spotify:track:485e5jZ2e0ZvuHemXvWytY,Never,0.331,0.825,0.0701,0.00136,0.00267,
spotify:track:7c3TLYfPHUAZpE70EJ79sQ,Victor,0.242,0.684,0.0355,0.000438,2.90E-06,
spotify:track:4wODOg3NPt56JE0sB6d5hY,All Night Long,0.964,0.838,0.078,0.216,0,
spotify:track:5wnU8UV5y2gXqYW0vUd9Vc,Ocean As Well,0.459,0.52,0.074,0.259,0.000928,
spotify:track:09PaCcdg7qeQiUtsDOV5hh,Grazing In The Grass,0.864,0.887,0.038,0.101,0.793,
spotify:track:6EKeeq2eiF7lotobYvDE6B,Take Me Away - Stonebridge Remix,0.702,0.873,0.0406,7.45E-05,0.767,
spotify:track:4pROH5DJe9pFo0XBpBF5GU,Hatfields & McCoy Theme (feat. Lisbeth Scott),0.0963,0.0564,0.0408,0.977,0.34,
spotify:track:6Bo1KhkChOgMM0s3lacyQb,You Really Gotta Hold On Me,0.174,0.0475,0.0395,0.963,0,
spotify:track:4JSCZEnuqg9KYVHU6nxNth,Not Tonight,0.179,0.472,0.0328,0.349,0,
spotify:track:11uKHaUkOKisT2cvBnSo2l,Lifer,0.47,0.809,0.0329,0.447,1.20E-06,
spotify:track:1I2P96M4RU8DBJUVYCsGqD,Misparim,0.45,0.861,0.203,0.254,2.80E-05,
spotify:track:1IsvSzLrWOkdsgLPYB45We,Uncle Disney,0.437,0.223,0.028,0.846,0,
spotify:track:2Mn0kVLQbrObfnviAIeIR1,Hard Times,0.968,0.533,0.0557,0.269,2.21E-06,
spotify:track:6jfAazlCP0msq94jrwkUG5,Winter Wonderland,0.735,0.206,0.0423,0.825,0,
spotify:track:3zg0RVk6GcXFvJG6BWVFre,Brad Pitt's Cousin (feat. Xperience),0.928,0.836,0.25,0.164,0,
spotify:track:1CAw3ethNuSDPf3E7luSFF,Faded Pictures,0.581,0.511,0.202,0.125,1.72E-06,
spotify:track:5X4XAB4dagwoPgAeFy4OyW,Bars Of Soap (feat. Swae Lee),0.201,0.622,0.255,0.147,0,
spotify:track:7IiWdCebKD9AhpHhqzqhBN,White Christmas,0.396,0.776,0.0578,0.795,0,
spotify:track:46VZJrPn3erLG9zejOk8zx,No Lungs to Breathe,0.368,0.99,0.117,8.34E-05,0.000104,
spotify:track:30RO5v4ZymN0KrmSIu9aRC,Flat On the Floor,0.434,0.946,0.0927,0.204,0,
spotify:track:6s1R9UKMaSkAreX9vgRNqB,Jag såg mamma kyssa tomten,0.882,0.685,0.0319,0.174,0.000117,
spotify:track:5YmFwSNbZPZBOLsuQzyNWh,Glamorous Lifestyle,0.57,0.779,0.347,0.0787,0,
spotify:track:10tTeQt2L8Ha8hLPDWTj0A,Why We're Breathing,0.159,0.481,0.0307,0.95,1.04E-05,
spotify:track:0SZIQOLgjT6awjwInBsSjV,You're The Best Thing,0.68,0.723,0.0358,0.432,3.96E-05,
spotify:track:6B3pILrgdb6ErWqbkhopXZ,Drop Out - The so Unknown,0.583,0.895,0.0385,0.0328,0,
